FeatureID	HEB-0N-1	HEB-0N-2	HEB-0N-3	HEB-0N-4	HEB-0N-5	HEB-N-1	HEB-N-2	HEB-N-3	HEB-N-4	HEB-N-5	NMG-0N-1	NMG-0N-2	NMG-0N-3	NMG-0N-4	NMG-0N-5	NMG-N-1	NMG-N-2	NMG-N-3	NMG-N-4	NMG-N-5	XJ-HN-1	XJ-HN-2	XJ-HN-3	XJ-HN-4	XJ-HN-5	XJ-LN-1	XJ-LN-2	XJ-LN-3	XJ-LN-4	XJ-LN-5
aab71a0547b2e552ce9169b8180227ac	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
69a397d9522cc19f15ab506bf4138f58	0	0	0	0	0	0	0	0	0	23	0	28	0	0	0	42	0	0	21	0	0	0	0	0	0	0	0	0	0	0
6903bf988e46c0acc0243796851667ce	0	0	0	4	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6cd3f73a7159d3dc6d62c7ba7be755e9	659	133	0	30	264	54	78	70	81	202	0	69	0	193	49	91	141	38	50	44	0	0	0	29	0	0	0	0	0	0
1bdf577180532838886236e33cb33306	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b786f0b328bf37a9db9d26dc8e93d700	21	0	0	0	0	0	0	78	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4b826b1c86691bbe5560998f0e61ab00	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2e8258c74a2547461f81698bf97fd52d	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
353db33b5a4847d2f6fc02efb2838e5f	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b066b9f8cc8320968664dc2dc8c566ea	0	0	0	0	0	0	36	0	0	84	0	74	40	0	0	70	0	112	0	124	0	0	0	0	41	20	0	0	0	0
2b3ce4221589c5683868bc0191e748bd	68	37	17	38	62	52	22	0	26	0	0	0	9	51	0	36	30	0	65	9	0	0	0	0	9	9	0	0	0	0
5867f4af90f2047afeeb074142d5e0ba	0	0	0	0	0	0	0	0	0	0	15	0	0	19	0	0	23	32	0	9	0	0	0	0	0	0	0	0	0	0
ff4034d19b96b057232d1e1b4e46ea5b	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
145d041e698cd1cffe497d4796b7dad7	0	0	6	8	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0
e328b1f5661f0b0e664ed893f8b814de	37	0	0	26	15	12	18	19	8	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
65357602339bd72f5e1133c9f1f9cd78	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
675f4d0a711d803d208db74357a3255f	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12fa9bb373b6d548419802a8fb0d2647	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
