FeatureID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence
26b0246bcf952a65055a575fcb5e1e11	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Methylophilaceae	Unclassified	Unclassified	0.999586725
4c598f92804ecb257c3a85947589a157	Bacteria	Chloroflexi	NA	NA	NA	Unclassified	Unclassified	0.97255728
94e13e88d728444cfa11cff1c0ef1dc3	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Unclassified	uncultured_bacterium	0.904244865
e98b9a075091c0d1b1b03ebaf360a222	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	Unclassified	0.801514179
bfe6b20bc141cd87fabd69024716bf32	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	Unclassified	Unclassified	0.972041649
2fd1ad86dd2542a9e4c5755677620bbf	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	metagenome	0.70133666
cac538b87f008bb361aa62890f88eb88	Bacteria	Chloroflexi	TK10	TK10	TK10	TK10	Unclassified	0.999979749
b41461d7dcac9b588a28035219a0a690	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	Unclassified	Unclassified	0.997547769
f9b3149c6a07e2c4c3f6fcac5d745192	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	Unclassified	Unclassified	0.992747694
2b7c31e02477902b180e45c3e69e71ec	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	Unclassified	uncultured_bacterium	0.72844149
0c862f08e58edabd2e566a17c3405fe4	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12	uncultured_bacterium	0.722752263
d8647d210c15238a56c4e63958f3b881	Bacteria	Proteobacteria	Alphaproteobacteria	Reyranellales	Reyranellaceae	Unclassified	Unclassified	0.987322977
78f2b597022f153f45b2ade1e0b8dd67	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	Unclassified	uncultured_Alphaproteobacteria	0.819805582
1c85f1cdab073472705b98abb6c7bd43	Bacteria	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	SAR324_clade(Marine_group_B)	Unclassified	0.766027501
a0d471073400304b1f31f6a2ae0fc7f5	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	Capnocytophaga_leadbetteri	0.70235259
90797ee8ec5de32232c6366c3ce20d3c	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	marine_metagenome	0.97050472
d89676679ecd5a3ef3c7b9f778d2a654	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	Unclassified	0.987310448
2ada9f41cd56dfaf1e116fb2866a0687	Bacteria	Bdellovibrionota	Oligoflexia	0319-6G20	0319-6G20	0319-6G20	Unclassified	0.999789956
66d2715481c97d0fbf95d9a7b4a70fe8	Bacteria	Bdellovibrionota	Oligoflexia	053A03-B-DI-P58	053A03-B-DI-P58	053A03-B-DI-P58	Unclassified	0.995502056
20e1328769e722e1a199530d4500a457	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	Unclassified	0.999172592
a5af6e21b5179b90f664e258ce636362	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	metagenome	0.999584551
50aba2c05f7c8a2eb90725621289fbf4	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae	Unclassified	uncultured_prokaryote	0.972318152
2a3e4a5f8a8f29ab51f8c2fb1f65b1d7	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	NS11-12_marine_group	NS11-12_marine_group	uncultured_soil	0.98040205
783db81644984c758f37e5c6c41f1056	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	uncultured_Desulfuromonadaceae	0.999643759
3fce2299d82b9f0af6c5cb2c8068c38b	Bacteria	Actinobacteriota	Actinobacteria	NA	NA	Unclassified	Unclassified	0.963771997
7e1a560b5a45a372f7b67afbc7c2dfbd	Bacteria	NA	NA	NA	NA	Unclassified	Unclassified	0.999999427
31fd2d9d107ec3abe582592f47e15b2b	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	env.OPS_17	env.OPS_17	Unclassified	0.836270253
0725b4153b1f88f5c46de2d3e6e72fa6	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Mitochondria	Mitochondria	Unclassified	0.813490529
1e7c61d84e47ec066f2b21a5e059c4bb	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	uncultured_bacterium	0.914639717
d7a62d84a25fd0fea54f5c864607bcf8	Bacteria	Bacteroidota	Bacteroidia	Sphingobacteriales	AKYH767	AKYH767	metagenome	0.806602118
f92e7bfa75914658a0cf733ad5d923a4	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Spirosomaceae	Dyadobacter	Dyadobacter_alkalitolerans	0.821351252
dca5cc39b449352c29c13d4217b1e9c4	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	Unclassified	Unclassified	0.866400154
15d1b14303234a508259c387789793bc	Bacteria	Actinobacteriota	Actinobacteria	Nitriliruptorales	Nitriliruptoraceae	Unclassified	Unclassified	0.994772577
26dc9efb98e10734b91e591713ff98c3	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Unclassified	0.762348055
a62d12a72211f7c8d3ef386f64cccc91	Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	NA	Unclassified	Unclassified	0.746500851
93aa9a1dc8c4bb946bbf39db87b324ea	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Unclassified	Unclassified	0.892152156
a10b42c7f54bc6b90d7c2d8d8e99d439	Bacteria	NA	NA	NA	NA	Unclassified	Unclassified	0.999999374
8bbcbcf28cfe542149dc0bd5b32ce781	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	Unclassified	Unclassified	0.733802385
0cc7053132d23ea95af8c8d560837e09	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Unclassified	Unclassified	0.986810961
155808af5aa965b73c40a34cec458ae7	Bacteria	NA	NA	NA	NA	Unclassified	Unclassified	0.999999766
8241944610122bf168362ef998b6f210	Bacteria	Dependentiae	Babeliae	Babeliales	NA	Unclassified	Unclassified	0.973472116
c9f823dcef3d8e46f197fb7d4258655c	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Pedosphaerales	Pedosphaeraceae	Unclassified	Unclassified	0.986893061
ffae7d75c58d762b4a4cf9623e8836b9	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	uncultured	Unclassified	Unclassified	0.749183138
e16a31fdaa54dbddce981d4137952ec1	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Unclassified	Unclassified	0.996571304
3eabbdfa545cc7e94d38e2852e15bd4f	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	Unclassified	Unclassified	0.792816272
34d6e453c54bc84db6ddf5f102bde6fb	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	Unclassified	0.988233054
